Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U),definition
corporate,1465,57.53,57,concerning (usually large) companies
fairly,1466,57.53,57,in a reasonable way; between a little and very much
wood,1467,57.53,57,hard material that trees are made of and is used for building and fuel
participate,1468,57.53,57,to take part with others in doing something
tough,1469,57.53,57,very difficult to do or deal with
tear,1470,57.52,57,1. (v) to damage something by pulling it apart; 2. (n) drop of salty water from the eye
representative,1471,57.52,57,typical of a particular group or thing
capacity,1472,57.52,57,"ability to hold, involve or contain people or things"
border,1473,57.51,56,line separating one country or state from another
shake,1474,57.51,56,to move something violently back and forth or up and down
assessment,1475,57.51,56,opinion based on judging the qualities of something or someone
shoe,1476,57.51,56,outer covering worn on the foot to protect it usually sold in pairs
ought,1477,57.5,56,what is expected; should
ad,1478,57.5,56,public notice or advertisement
fee,1479,57.49,56,amount of money paid for a particular service
hall,1480,57.49,56,"a usually long, narrow room in a building  that leads to other rooms"
regulation,1481,57.48,56,official rule that controls how something is done
escape,1482,57.48,56,to get away from a place where you are being held
studio,1483,57.48,56,"the building or room where art is made, such as paintings, movies, or music"
proper,1484,57.47,56,correct according to social or moral rules
relax,1485,57.47,56,to stop feeling nervous or worried; to rest and do something enjoyable
tourist,1486,57.47,56,someone who travels to a place for pleasure
component,1487,57.47,56,one of the parts that make up something
afford,1488,57.46,56,to have enough money to pay for something
lawyer,1489,57.46,56,a professional who is paid to help people with the law
suspect,1490,57.45,56,to think that someone may have committed a crime or done something wrong
cup,1491,57.45,56,small round container used to hold liquids for drinking
description,1492,57.45,56,something that tells you what something is like or looks like
confidence,1493,57.44,55,feeling that you can do well at something
industrial,1494,57.42,55,concerning the people and businesses that make certain products
complain,1495,57.42,55,to say that you are not happy or satisfied with something or someone
perspective,1496,57.42,55,"way of thinking, an attitude toward something"
error,1497,57.42,55,something that is not correct; a mistake
arrest,1498,57.42,55,to use the law to catch and keep people who committed crimes
assess,1499,57.41,55,to judge something's value or suitability
register,1500,57.4,55,to record your name on an official list; sign up
asset,1501,57.4,55,a person or thing that has value or use to someone or to a company
signal,1502,57.39,55,"An action, change, or process that gives information about something"
finger,1503,57.38,55,one of the five long parts of the hand
relevant,1504,57.38,55,direct related to a subject in a considerable way
explore,1505,57.37,55,to learn about something by examining in detail or someplace by traveling to it
leadership,1506,57.37,55,quality of being able to guide or influence others
commitment,1507,57.36,54,a promise or decision to do something; something that you must do that takes your time
wake,1508,57.36,54,to stop sleeping; to make someone stop sleeping
necessarily,1509,57.35,54,"in a way that is needed or required, or is unavoidable"
bright,1510,57.34,54,producing a lot of light
frame,1511,57.34,54,"(n) 1. the basic structure of something that gives it its shape, to which other parts are added; 2. one picture in a series that make a video; (v) 1. to put a picture in a supporting structure; 2. to produce false evidence so an innocent person appears guilty of a crime"
slowly,1512,57.34,54,done in a way that takes a long time
bond,1513,57.34,54,"something that joins or connects people, groups, or parts; a duty or promise to another; glue"
hire,1514,57.34,54,to employ a person to do a particular job
hole,1515,57.33,54,opening into or through something
tie,1516,57.33,54,to join together two ends of string or rope; to join two or more things together with string or rope
internal,1517,57.33,54,within or inside
chain,1518,57.32,54,"series of connected  things, events, or people"
literature,1519,57.29,54,"writings that are valued as works of art, esp. fiction, drama and poetry"
victim,1520,57.29,54,"person who has suffered from a crime, bad situation, or event"
threaten,1521,57.28,53,to say you will harm or hurt someone
division,1522,57.28,53,act of separating something into parts; groups formed by different functions or opinions
secure,1523,57.27,53,"to protect something from danger or harm, keep things safe"
amaze,1524,57.27,53,to cause wonder; to surprise completely
device,1525,57.26,53,"object, machine, or equipment for a specific use"
birth,1526,57.26,53,when a baby comes out of the body of its mother
forest,1527,57.26,53,large area with many trees
label,1528,57.26,53,a piece of paper or cloth that is attached to something and gives information about it
root,1529,57.26,53,part of a plant that grows underground
factory,1530,57.25,53,building where things are made
expense,1531,57.25,53,the amount of money that is needed to pay for something
channel,1532,57.25,53,"1. a narrow, deep body of water used by ships; 2. a system used for sending something from one place or person to another"
investigate,1533,57.25,53,to try to find out facts; to carry out research
recommendation,1534,57.24,53,suggestion about someone or something being a good choice
rank,1535,57.23,53,to place someone or something in higher or lower position relative to others
typical,1536,57.23,53,normal; usual; expected
west,1537,57.23,53,the direction where the sun sets; opposite of east
friendly,1538,57.23,53,acting like a friend; kind and helpful
resident,1539,57.23,53,someone who lives in a particular place
provision,1540,57.23,53,1. supplies that are needed or wanted; something that is supplied; 2. part of a law or an agreement
concentrate,1541,57.22,53,to give all your attention to a task; focus
plenty,1542,57.22,53,a large  amount of something; a lot; not too little
export,1543,57.21,53,to send goods to be sold in another country
entirely,1544,57.21,53,fully or completely
strongly,1545,57.21,53,in a strong manner; in a very serious way
bridge,1546,57.2,53,"structure built over river or road so people, vehicles, or animals can cross"
consist,1547,57.2,52,"to have as an essential, necessary or main part"
graduate,1548,57.2,52,(v) to receive a degree from a college or university; (n) a person who has received a degree
brand,1549,57.19,52,name given to a product or service
moral,1550,57.18,52,relating to people's belief about right or wrong behavior
insist,1551,57.17,52,to state your opinion strongly and firmly; to demand that something must happen
combination,1552,57.17,52,result of mixing things together
abuse,1553,57.17,52,"to treat someone or something in a way that is cruel, harmful, or wrong"
ice,1554,57.16,52,frozen water
principal,1555,57.16,52,1. most important; main; 2.  the person in charge of a (US) public school
master,1556,57.16,52,1. someone who has control over others; 2. someone who is very skilled at doing something
definitely,1557,57.16,52,without question; beyond doubt
session,1558,57.16,52,period of time for doing a particular activity
grade,1559,57.16,52,level of study that is completed by a student
nevertheless,1560,57.16,52,despite what has just been done or said; nonetheless
predict,1561,57.15,52,to guess or estimate what will or might happen
previously,1562,57.14,52,at an earlier time
protection,1563,57.14,52,being kept from harm
largely,1564,57.14,52,in large part; mainly or chiefly
wed,1565,57.13,52,to marry; to get married
rent,1566,57.13,52,to pay money for the use of something
shot,1567,57.12,52,"the act of firing a gun, or kicking or throwing a ball at a goal"
appearance,1568,57.12,52,way that someone or something looks
reasonable,1569,57.12,52,fair and sensible; appropriate
guarantee,1570,57.12,52,to make a formal promise that something will happen or be done.
till,1571,57.12,52,until
theme,1572,57.11,51,main subject to discuss or describe
judgment,1573,57.11,51,opinion that is made after careful consideration
odd,1574,57.11,51,being strange or different from what is usual or expected
approve,1575,57.1,51,to have a positive opinion of someone or something
loan,1576,57.1,51,something (usually money) that is given to someone for a period of time with a promise that it will be returned
definition,1577,57.1,51,"explanation of word's meaning, as in dictionaries"
elect,1578,57.09,51,choose someone for a position usually by voting
atmosphere,1579,57.08,51,The mixture of gases surrounding the Earth; the feeling that a place or situation gives you
farmer,1580,57.08,51,"someone who owns or looks after farm, a place for growing crops and keeping animals"
comparison,1581,57.07,51,looking for differences and similarities in two or more things
characteristic,1582,57.07,51,a typical feature or quality that a particular person or thing has
license,1583,57.07,51,official document which allows a person to do or have something
rely,1584,57.07,51,able to depend on
narrow,1585,57.07,51,long but not wide; a small distance from one side to the other compared to length
succeed,1586,57.06,51,to finally achieve something that you were trying to achieve
identity,1587,57.06,51,who someone is; the collection of qualities that makes a person
desk,1588,57.05,51,a piece of furniture like a table often with drawers
permit,1589,57.04,51,to allow someone to do something or for something to happen
seriously,1590,57.04,51,in a serious way; in a way that shows something is important
wild,1591,57.03,51,living in nature; not tame
empty,1592,57.03,50,containing nothing; with no contents
commission,1593,57.02,50,a group officially put in charge of finding out about something or controlling something
unique,1594,57.02,50,unlike other things; being the only one like it
association,1595,57.01,50,organization of people with the same interest
instrument,1596,57.01,50,a piece of equipment used for a particular purpose such as making music or measuring something
investor,1597,57.01,50,a person who gives money to help a business grow for a profit
practical,1598,57.01,50,"relating to what is sensible, real, or useful rather than with ideas or theories"
tea,1599,57,50,drink made when you put dried leaves in hot water
lovely,1600,56.99,50,attractive or beautiful
soft,1601,56.99,50,"easy to press, bend or cut; not hard or firm"
row,1602,56.99,50,a straight line of people or things; one after another
youth,1603,56.99,50,when you are young; a young person
lock,1604,56.98,50,to close something with a device so others can't open it
fuel,1605,56.98,50,material used to produce heat or power when burned
expectation,1606,56.98,50,a belief or hope that something is going to happen
employment,1607,56.98,50,having a job; work done for money
celebrate,1608,56.97,50,"to observe an event or occasion (e.g., a birthday)"
sexual,1609,56.97,50,concerning physical activity that can produce babies
shoulder,1610,56.96,50,the part of the body where an arm attaches or joins
breath,1611,56.96,50,air you take in and out of your body
increasingly,1612,56.96,50,more and more; in greater degree or amount
import,1613,56.95,50,to bring items or goods from one country into another
bottle,1614,56.95,50,a container with a narrow neck used to hold liquids like water or wine
ourselves,1615,56.95,49,used by a speaker to show that they and one or more people are affected by their action
sheet,1616,56.94,49,"a large piece of fabric or material that is used to cover something, often a bed"
engine,1617,56.94,49,a machine that changes energy into motion
cast,1618,56.93,49,"to send, throw, or move something or someone in a direction"
notion,1619,56.93,49,idea or opinion about doing something
conservative,1620,56.93,49,preferring traditional styles and values
journey,1621,56.92,49,traveling from one place to another; trip
opposition,1622,56.92,49,act of disagreeing or trying to stop something
relief,1623,56.92,49,the pleasant and relaxed feeling when something unpleasant stops or does not happen
debt,1624,56.92,49,the sum of money owed to somebody that is not yet paid
honor,1625,56.91,49,respect given to someone who is admired
outcome,1626,56.89,49,"something that happens as a result, consequence"
blame,1627,56.89,49,to say someone is responsible for something bad
explanation,1628,56.89,49,details or reasons given to make something clear
arise,1629,56.89,49,"to begin, to start to happen"
musical,1630,56.88,49,play or movie set to music
recover,1631,56.87,49,to become healthy after an illness or injury; to get better
dad,1632,56.87,49,father
stretch,1633,56.87,49,to make something bigger or looser by pulling on it
declare,1634,56.86,49,to say something in an official or sure way
retire,1635,56.86,48,to stop working because you have reached a certain age
tiny,1636,56.85,48,"very, very small"
careful,1637,56.84,48,thinking about what you are doing in order to avoid a mistake
suitable,1638,56.84,48,acceptable or right for someone or something
native,1639,56.84,48,being from or living in the place where you were born
fruit,1640,56.84,48,food that grows on a tree or bush
analyze,1641,56.83,48,to study carefully to find out the meaning of
witness,1642,56.83,48,a person who sees something happen
mail,1643,56.83,48,"a letter, package, or email"
terrible,1644,56.83,48,very bad; horrible
researcher,1645,56.82,48,a person who studies something carefully to learn new information
ordinary,1646,56.8,48,"not special, different, or unusual"
selection,1647,56.78,48,the act of carefully choosing something or someone from a group
anywhere,1648,56.78,48,"in, at, or to any place; used in questions, with 'not'"
mental,1649,56.78,48,concerning the mind
participant,1650,56.77,48,a person who is actively involved and included in something
vision,1651,56.76,47,ability to see things with your eyes
personality,1652,56.76,47,person's character; the way that a person usually acts
specifically,1653,56.76,47,in a well-defined or clear manner; in particular
fat,1654,56.75,47,oily part of meat
entry,1655,56.75,47,the act of going into some place
fellow,1656,56.75,47,someone in the same group or situation; a boy or man
chemical,1657,56.75,47,a basic substance produced by mixing elements
capture,1658,56.75,47,to catch and prevent a person/animal from being free
tip,1659,56.74,47,a small piece of advice; the end of something
discount,1660,56.74,47,an amount of money taken off the usual price of something
peak,1661,56.74,47,"the time or place when something or someone is best, greatest, highest"
chairman,1662,56.73,47,a person in charge of a meeting
proportion,1663,56.73,47,an amount that is a part of a whole thing
ear,1664,56.72,47,the part of the head that you hear with
disappear,1665,56.71,47,to become impossible to see
shout,1666,56.71,47,to speak very loudly because you want to get their attention
yard,1667,56.71,47,outdoor area or garden next to a house
constant,1668,56.71,47,happening frequently or without pause
significantly,1669,56.69,47,in a way that is important or noticeable
hill,1670,56.67,46,an area of land that is higher than the land around it but smaller than a mountain
considerable,1671,56.67,46,"large in size, amount, or effect"
instruction,1672,56.67,46,information about how to do or use something
intelligence,1673,56.67,46,"ability to learn, think about, and understand things"
ideal,1674,56.66,46,perfect; most suitable; best possible
folk,1675,56.66,46,ordinary people
surely,1676,56.66,46,with certainty; definitely
guard,1677,56.66,46,"to keep watch over something to protect it e.g., a bank"
cat,1678,56.65,46,a small animal of the lion and tiger family with four legs and a tail that is kept as a pet
somewhat,1679,56.65,46,"little, not very"
kiss,1680,56.64,46,to put your lips against another's to show love
presentation,1681,56.64,46,act of giving a formal talk about something
joint,1682,56.64,46,1. (n.) place where two things meet; 2. (adj.) done together
compete,1683,56.64,46,to try to win something such as a race or game
poll,1684,56.64,46,to get information by asking many people questions about a particular subject
weak,1685,56.63,46,having little power; not strong; easy to break
faith,1686,56.63,46,a strong belief that someone or something is honest and good
reduction,1687,56.62,46,making something smaller; reducing something
reserve,1688,56.61,46,1. (v) to arrange to use a room or table at a particular time; 2. (n) a store of something
complaint,1689,56.61,46,saying something is wrong and should be changed
bore,1690,56.6,46,to make someone not interested in something
mission,1691,56.6,46,a special task or job that is given to a person or group
somehow,1692,56.59,46,in a way that is not known or certain
tone,1693,56.59,46,sound of a voice that shows emotion or meaning
neighborhood,1694,56.59,46,area of a town or city that people live in
passenger,1695,56.59,46,A person who is traveling in a vehicle
justice,1696,56.58,46,"quality of being fair, equal, or just"
phase,1697,56.58,46,distinct part or step in a process
thin,1698,56.58,46,not thick; not wide in size
rush,1699,56.58,45,to do something very quickly
formal,1700,56.57,45,"suitable for serious, official, or important occasions"
religion,1701,56.57,45,set of beliefs about a god or gods
employer,1702,56.57,45,person or firm that pays people to work for them
reject,1703,56.56,45,"to refuse to believe, accept, or consider"
latter,1704,56.56,45,the second or last mentioned thing
plate,1705,56.56,45,a flat dish used for eating or serving food
ban,1706,56.55,45,to make something illegal or not allowed
steal,1707,56.55,45,to secretly take something that belongs to another
protest,1708,56.55,45,to express opposition through action or words
index,1709,56.55,45,a written or printed list of topics or words in a particular order
sad,1710,56.54,45,feeling unhappy; wishing something hadn't happened
frequently,1711,56.54,45,often; regularly
circle,1712,56.54,45,a perfectly round shape or a group arranged in that shape
helpful,1713,56.53,45,doing things that help someone
command,1714,56.53,45,to give an order; have control over others
attractive,1715,56.52,45,"making you like them, as by being good-looking"
sick,1716,56.52,45,having a physical or mental illness; not feeling well
impression,1717,56.51,45,effect or feeling resulting from an experience
unable,1718,56.51,45,not being able to do something
joke,1719,56.51,45,to say or do things that are meant to be funny
sky,1720,56.51,45,the place where we see clouds above us
column,1721,56.51,45,a tall post made of stone or wood used as a support in a building; one of two or more blocks of print that appear next to each other on a page
electronic,1722,56.51,45,operating by use of electricity; digital
impose,1723,56.5,45,"to make someone to do, believe, or accept something"
criminal,1724,56.49,45,related to illegal activity; (n) a person who has done a crime
besides,1725,56.47,44,other than or in addition to
properly,1726,56.46,44,in a correct or suitable way depending on the situation
ancient,1727,56.46,44,very old; having lived a very long time ago
coast,1728,56.45,44,land near the sea or ocean
ill,1729,56.45,44,not well; sick
kick,1730,56.45,44,to hit someone or something using your foot
closely,1731,56.45,44,very near in space or time; just next to
multiple,1732,56.45,44,many things or people
yield,1733,56.44,44,to give way to someone or something else
via,1734,56.44,44,"by going through, by way of"
legislation,1735,56.44,44,act or process of writing and passing laws
county,1736,56.43,44,an area within a country or a state with its own local government
unlike,1737,56.42,44,appearing or being different
mobile,1738,56.42,44,able to move from one place to another
assistant,1739,56.42,44,"a person who helps another, usually as a job"
implement,1740,56.41,44,to start and carry out a plan or government policy; (n) tool
chart,1741,56.41,44,drawing showing information in a clear way
attach,1742,56.4,44,to be associated or connected with
hell,1743,56.4,44,any place of pain and suffering
everywhere,1744,56.39,44,every place
advise,1745,56.39,44,to suggest what should be done
household,1746,56.39,44,all the people who live in a house; a family
acknowledge,1747,56.39,44,to accept that something is true
reward,1748,56.38,43,to give something to someone because of their good work
east,1749,56.38,43,the direction where the sun rises
hat,1750,56.38,43,something people wear to cover their heads for fashion or protection
academic,1751,56.37,43,related to education or school; (n) educator who works at a college or university
voter,1752,56.37,43,a person who can vote in an election
meanwhile,1753,56.36,43,at or during the same time; in the meantime
furthermore,1754,56.36,43,in addition to what has been said
accuse,1755,56.36,43,to say that someone has done something bad or wrong
scientific,1756,56.35,43,related to science
wage,1757,56.35,43,money paid to workers for the hours they worked
absence,1758,56.35,43,a time when you are not in a place where you should be
construct,1759,56.33,43,to build or create something
remark,1760,56.33,43,to say an opinion or make a comment about something
medicine,1761,56.33,43,liquid or pills used to treat illness or pain; the study of treating illness or pain
professor,1762,56.33,43,a teacher of high rank in a university or college
rare,1763,56.33,43,not common or usual
intention,1764,56.33,43,"plan, aim, or purpose"
dozen,1765,56.32,43,a group of twelve people or things
settlement,1766,56.32,43,an official agreement that ends an argument or fight between people or groups
gap,1767,56.32,43,a space between two things
widely,1768,56.3,43,by or among a large number of people
minimum,1769,56.3,43,lowest number or amount that is possible
northern,1770,56.3,43,in or toward the north
estate,1771,56.3,43,land that a person owns
equally,1772,56.29,43,"in an equal, similar, or identical way"
expose,1773,56.29,43,"to show something that is usually hidden, covered, or protected"
alive,1774,56.29,43,living; not dead
shut,1775,56.28,42,to close something
victory,1776,56.27,42,"a win in a war, game, or competition"
resolve,1777,56.27,42,to find an answer or way to handle a problem
critic,1778,56.27,42,"a person whose job is to give opinions about books, movies, or other forms of art"
variable,1779,56.26,42,having the ability to change or vary
enormous,1780,56.26,42,huge; very big; very large
sweet,1781,56.26,42,tasting like sugar; containing sugar
permanent,1782,56.25,42,lasting forever; not temporary or changing
emotion,1783,56.25,42,"a feeling such as sadness, anger, or love"
pursue,1784,56.25,42,to follow and try to catch something; to try to get something
tall,1785,56.24,42,greater in height than average
urge,1786,56.24,42,to strongly persuade someone to do something
enemy,1787,56.24,42,someone who wants to harm another
appoint,1788,56.23,42,"to officially choose a person for a job, position"
milk,1789,56.23,42,the white liquid produced by females to feed their babies
talent,1790,56.23,42,the natural ability of a person to do something well
smell,1791,56.22,42,to use your nose to sense something
prior,1792,56.22,42,happening or coming earlier in time
priority,1793,56.22,42,something that is important and must be done before other things
online,1794,56.22,42,connected to the internet
phrase,1795,56.19,42,a group of words that forms a unit and expresses a single meaning
pilot,1796,56.19,42,"a person who controls an airplane, spacecraft, or boat"
stable,1797,56.19,42,in a good situation or condition; not likely to change
merely,1798,56.18,42,"only, simply, or nothing more than"
resolution,1799,56.18,42,a formal agreement or statement decided by a group of people
communicate,1800,56.18,42,to give and exchange information
injury,1801,56.17,41,physical or emotional harm or damage that a person experiences
vast,1802,56.17,41,being very large in size or amount
exhibition,1803,56.17,41,an event at which an object or group of objects is shown to the public
producer,1804,56.17,41,a company making or growing a certain product
regional,1805,56.17,41,having to do with a particular area
immediate,1806,56.16,41,done without delay; straight away
incident,1807,56.16,41,"something that happens, especially if it is bad or unusual"
childhood,1808,56.16,41,the time when you are a child
draft,1809,56.16,41,a piece of writing or plan that is not yet finished
slip,1810,56.16,41,to slide out of position or fall to the ground by accident
accompany,1811,56.16,41,to go somewhere with someone
politician,1812,56.15,41,someone who is active in politics
angry,1813,56.15,41,having a strong feeling about something that you dislike very much
knock,1814,56.15,41,to hit something to get people's attention
seed,1815,56.15,41,a small object made by a plant from which a new plant can grow; the beginning of something
salary,1816,56.15,41,money an employee is paid each year
illustrate,1817,56.13,41,"to explain with examples, to make it easier to understand"
imply,1818,56.13,41,"to suggest something, without saying it directly"
breakfast,1819,56.13,41,the first meal of the day
temporary,1820,56.12,41,"continuing for a limited time, not permanent"
liberal,1821,56.12,41,open to new ideas; believing government should actively support social needs
lake,1822,56.11,41,a large area of water surrounded by land
qualify,1823,56.11,41,to get the necessary skill or knowledge to do a particular job or activity
competitive,1824,56.1,41,wanting to win or to be better than others
truly,1825,56.09,41,based on truth or fact or reality
hi,1826,56.08,41,what you say when you meet someone; hello
yellow,1827,56.08,41,color of lemons or the sun
habit,1828,56.08,41,the usual way of behaving; something often repeated
disk,1829,56.08,41,a flat round object
core,1830,56.08,41,the central part of a fruit that contains the seeds; the central part of something
emotional,1831,56.08,41,related to deep feelings
aircraft,1832,56.07,40,a machine that can fly
self,1833,56.07,40,the type of person you really are
metal,1834,56.07,40,"a type of hardy material that is usually hard and shiny that can be used to make things, such as iron, gold, or steel"
existence,1835,56.07,40,"state of being present, alive, or real"
bone,1836,56.06,40,hard pieces of a body that form the frame of an animal
panel,1837,56.05,40,"a rectangular piece of wood, metal, etc., that is a part of something bigger; a group of people who discuss something"
prime,1838,56.05,40,main; most important; best quality
appointment,1839,56.04,40,the time you arranged to meet someone or do something
emphasize,1840,56.03,40,to stress the items that are important
maximum,1841,56.03,40,largest or greatest
effectively,1842,56.02,40,in a way that produces the result you want
elsewhere,1843,56.01,40,in or to another or different place
bother,1844,56.01,40,to take the trouble to do something
initiative,1845,56.01,40,ability to decide or act upon things yourself without depending on someone else
sharp,1846,56.01,40,having a thin edge or point that is able to cut
diet,1847,56,40,the type of food that a person or animal usually eats
motion,1848,56,40,a movement; the way something moves
gray,1849,56,40,color between black and white
plastic,1850,56,40,"a very common, light, strong material that can be formed into many different shapes and is made by a chemical process"
complicate,1851,55.99,40,to make more difficult
discipline,1852,55.99,40,the teaching of self-control through instruction and practice
disappoint,1853,55.99,40,to not meet the expectations of others or yourself
boss,1854,55.98,40,"a person who manages you, or is in charge of you at work"
assumption,1855,55.98,40,"something you believe to be so, but aren't sure of"
freeze,1856,55.98,40,to become hard because of very cold temperatures
extreme,1857,55.98,40,very great in degree
passage,1858,55.98,40,"a long, narrow area that connects one place to another"
reputation,1859,55.98,40,an opinion that people have about someone or something based on the past
forth,1860,55.98,40,"out of a place; forward in time, place, or way"
negotiation,1861,55.97,40,a formal discussion to reach an agreement
mechanism,1862,55.96,39,a part or a set of parts of a machine that has a particular function
coat,1863,55.96,39,clothing worn outside over your normal clothes
democracy,1864,55.96,39,a system of government in which the people of a country can vote to elect who will govern them
pocket,1865,55.96,39,small cloth bag sewn into clothing to hold things
lucky,1866,55.96,39,fortunate; having good things happen to you
crash,1867,55.96,39,to hit something hard enough to cause serious damage
observation,1868,55.96,39,careful watching and listening; remark or comment on something you have noticed
meat,1869,55.95,39,the muscles and soft parts of animals or birds that is eaten as food
concentration,1870,55.95,39,the ability to direct all your effort and attention on the one thing you are doing and nothing else
implication,1871,55.95,39,possible effects or results from an action or event
deserve,1872,55.94,39,to get the appropriate reward or punishment for the way you behaved or something you did
unusual,1873,55.94,39,different from what is ordinary or normal in a way that attracts attention; not usual
defend,1874,55.94,39,to protect against an attack
classic,1875,55.93,39,something popular or famous for a long time and is considered one of the best of its kind
king,1876,55.93,39,the male ruler of a country that has a royal family
interaction,1877,55.92,39,process of two or more people or things affecting each other
repair,1878,55.92,39,to fix something that is broken; fix
collapse,1879,55.92,39,to suddenly fall down or break apart
borrow,1880,55.92,39,to receive something from someone and later return it
fundamental,1881,55.9,39,relating to the most important parts of something
dish,1882,55.89,39,a shallow container for cooking or serving food
abroad,1883,55.89,39,in or to a foreign country
soul,1884,55.89,39,the spiritual part of a person
capable,1885,55.88,39,able to do something; can do
defeat,1886,55.88,39,to win against someone in something such as a fight or game
presidential,1887,55.87,39,relating to the president
perfectly,1888,55.87,39,in a faultless manner; without mistakes
enhance,1889,55.87,39,to make something better; to improve
proud,1890,55.87,39,pleased because of something you have done
emergency,1891,55.87,39,a sudden serious event needing immediate action
educational,1892,55.87,39,relating to teaching in a school
distinguish,1893,55.86,39,to notice the difference between two or more things or people
substantial,1894,55.86,39,"large in amount, quantity, or size"
nearby,1895,55.85,38,not far away
manufacturer,1896,55.85,38,a person or company that makes a product
slide,1897,55.85,38,"to move smoothly and easily, usually over a surface"
valuable,1898,55.85,38,worth a lot of money
personally,1899,55.85,38,"by a specific person, and not by anyone else"
breast,1900,55.85,38,one of the two parts on the front of a woman's body that produce milk when she has a baby
cope,1901,55.83,38,to deal successfully with a difficult problem
approximately,1902,55.83,38,around; nearly; almost; about (a number)
accommodation,1903,55.83,38,"a place to stay, often a hotel"
highlight,1904,55.83,38,the best or most interesting part of something
reporter,1905,55.83,38,"someone whose job is to write and report news for a newspaper, magazine, television, or radio station"
climate,1906,55.83,38,typical weather conditions in a particular place
shirt,1907,55.82,38,a light piece of clothing with sleeves for the upper body
exception,1908,55.82,38,something not included in or different from a group of things
corporation,1909,55.82,38,big company or a combination of several companies
chip,1910,55.81,38,a small piece that was broken or taken off something
winner,1911,55.81,38,the person or animal that is the best in a contest or first in a race
encounter,1912,55.81,38,"to have or experience something, often unpleasant or difficult"
brown,1913,55.81,38,"of the color of coffee, wood, or chocolate"
breathe,1914,55.81,38,to move air into and out of your lungs
excuse,1915,55.8,38,to give a reason to explain why you did something
partly,1916,55.8,38,in part; not completely
tennis,1917,55.79,38,game played by hitting a ball over a net
urban,1918,55.79,38,concerning a city; located in a city
confuse,1919,55.79,38,to make something unclear or hard to understand
southern,1920,55.79,38,in or from the south
output,1921,55.79,38,amount of something that is produced
beauty,1922,55.79,38,quality of being physically or visually attractive
massive,1923,55.79,38,very big; very large and heavy
install,1924,55.78,38,to set up a piece of equipment so that it is ready to use
calculate,1925,55.78,38,to find an answer using mathematics
mouse,1926,55.78,38,a small animal that has fur and a long tail
mathematics,1927,55.77,38,study or science of numbers and shapes
upper,1928,55.77,38,higher than others of the same kind
creation,1929,55.76,38,act of making something
occupy,1930,55.76,38,"to fill a time, a space, or an area"
outline,1931,55.76,38,"the main ideas or facts about something, without the details"
sufficient,1932,55.76,38,having as much as is needed for a particular purpose
update,1933,55.76,38,to change something by adding the most recent information
luck,1934,55.75,38,"accidental way things happen, often good things"
preserve,1935,55.75,38,to keep something in an unchanged or perfect condition
split,1936,55.75,38,to break something into pieces or divide something
swing,1937,55.75,38,to move smoothly backwards and forwards or from side to side while hanging from something
illness,1938,55.75,38,unhealthy condition of the mind or body
journalist,1939,55.75,38,"a person who writes news reports for newspapers, magazines, television, or radio"
sudden,1940,55.75,38,happening or done quickly or unexpectedly
advertisement,1941,55.74,38,"a picture, short film, text, etc., that tells people about a product or service"
consistent,1942,55.74,38,always acting or happening in the same way
originally,1943,55.73,37,at first; in the beginning
aside,1944,55.73,37,to the side; out of the way; for later use
comfort,1945,55.71,37,"state of being relaxed, warm, or happy"
secondly,1946,55.71,37,used to give a point or reason after the first
severe,1947,55.7,37,very bad; very serious
gene,1948,55.7,37,part of a cell that controls the development and appearance of a living thing
prospect,1949,55.7,37,"the possibility that something might happen in the future, especially something good"
snow,1950,55.7,37,soft white pieces of frozen water falling from the clouds
plot,1951,55.7,37,"a plan to do something, often in secret and bad"
neck,1952,55.69,37,part of the body joining the head and the body
criteria,1953,55.67,37,details used to make a decision
primarily,1954,55.67,37,in the most basic or important way
integrate,1955,55.67,37,to combine together; make into one thing
criticism,1956,55.66,37,written or spoken remarks about what is bad about someone or something
convention,1957,55.66,37,"a large meeting of the members of a profession, organization, or who have the same interests"
bet,1958,55.66,37,to make an agreement on the results of an event where the losers give something (usually money) to the winner
retain,1959,55.66,37,to continue to have or use something; to keep
sequence,1960,55.66,37,an ordered group of related events or things
plain,1961,55.65,37,simple; easy to understand; clear
volunteer,1962,55.64,37,someone who works willingly without pay
rural,1963,55.64,37,"relating to parts of a country that are outside towns and cities, with fields, woods, etc."
calm,1964,55.64,37,relaxed and not worried or angry
abandon,1965,55.64,37,to leave someone or something you are responsible for and not return
examination,1966,55.64,37,"test of your knowledge of, or ability in something"
silence,1967,55.64,37,no sound or noise
rapidly,1968,55.63,37,with great speed
efficient,1969,55.62,37,able to work well without waste
revolution,1970,55.62,36,"a change in the way a country is governed, usually by violence or war; a complete change"
delight,1971,55.62,36,a strong feeling of great pleasure and happiness
spell,1972,55.61,36,"to be able to say, write, or print the letters that make up a word"
premise,1973,55.61,36,a statement or idea that is accepted as being true and is used for developing other ideas and actions
lean,1974,55.6,36,to bend or move someone's body in a particular direction; (adj) very little fat
dramatic,1975,55.6,36,sudden and extreme
differ,1976,55.59,36,to be not the same as others
grateful,1977,55.59,36,feeling or showing thanks; thankful
protein,1978,55.59,36,"a substance found in some foods, such as meat, that is needed by the body to stay healthy"
bike,1979,55.59,36,a vehicle with two wheels that a person can ride
distribute,1980,55.58,36,to hand in or deliver something to people
intellectual,1981,55.58,36,of or relating to the ability to think in a logical way and understand complicated ideas and subjects
