Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U),definition
personal,585,62.19,165,done by or to a particular person; individual
ground,586,62.18,165,solid surface of the earth that we stand on
animal,587,62.17,165,a living creature that is not a plant or person
arrive,588,62.17,165,to reach the place you are travelling to
patient,589,62.17,165,not getting annoyed when things take a long time
current,590,62.15,164,happening or being in the present time
century,591,62.14,163,period of 100 years
evidence,592,62.13,163,factual proof that helps to establish the truth
exist,593,62.13,163,"to be present, alive or real"
similar,594,62.12,163,nearly the same
fight,595,62.12,163,act of trying to hurt someone by hitting them
leader,596,62.12,163,person who is in charge of a group or task
fine,597,62.11,162,"good, acceptable or satisfactory"
street,598,62.11,162,road in a city with buildings and places to walk
former,599,62.1,162,"being something previously, but not now"
contact,600,62.09,162,to get in touch with someone
particularly,601,62.09,162,specially; more than others
wife,602,62.06,161,married woman
sport,603,62.06,161,game or physical exercise with rules
prepare,604,62.04,160,to make something ready for use
discuss,605,62.03,160,to talk about something seriously or in great detail
response,606,62.03,159,something said or written as an answer to something
voice,607,62.02,159,sound made when you speak or sing
piece,608,62.01,159,small part that of something larger
finish,609,62,158,end of something; completion
suppose,610,61.97,157,to imagine or guess what might happen
apply,611,61.97,157,"to ask formally for (a job, building permission, etc.)"
president,612,61.97,157,"person in charge of a country, company, or organization"
fire,613,61.96,157,heat and the flame produced when burning
